body_text,review_datetime_raw,review_title,rating_raw,translated_review,original_language
Wir waren als Familie über Ostern auf der Color Magic. Leider hat es uns überhaupt nicht gefallen. Völlig überteuert für das was geboten wird. Leider auch sehr unfreundliches Personal. Besonders arrogant und herablassend in der Sports & Burger Bar sowie der Piano Bar. Deutsche sind nicht willkommen. Dieses Gefühl hatten wir vom Betreten bis zum Verlassen des Schiffes. Vielleicht sind wir auch einfach anderes gewohnt und unsere Erwartungen waren dementsprechend hoch. Einziges Highlight war Oslo. Eine wunderschöne und saubere Stadt.,Datoen for opplevelsen: 30. mars 2024,Einmal und nie wieder,Vurdert til 1 av 5 stjerner,"We were on the Color Magic as a family over Easter. Unfortunately, we didn&#39;t like it at all. Completely overpriced for what was offered. Unfortunately, the staff were also very unfriendly. Particularly arrogant and condescending in the Sports &amp; Burger Bar and the Piano Bar. Germans are not welcome. We had this feeling from the moment we entered the ship until we left. Perhaps we are simply used to something different and our expectations were accordingly high. The only highlight was Oslo. A beautiful and clean city.",DE
"Als Sonderangebot bebucht, daher nicht allzu viel erwartet. Von der Außenkabine waren wir begeistert. Praktische ausklappbare Betten. Dafür tagsüber viel Platz. Leider fiel aus dem einen Bett beim Aufklappen ein Bonbon heraus. Die gesante Kabine war sehr staubig und es musste erstmal Staub gewischt werden, bevor wir unsere Sachen ablegen konnten.
Rauchen soll auf dem Schiff nur in gekennzeichneten Raucherecken erlaubt sein. Es gab diese jedoch nicht. Also wurde überall geraucht. Für mich als Asthmatikerin ein Spießrutenlauf.
Mein Mojito in der Panoramabar für ca. 11 Euro schmeckte nach Pfefferminzwasser. Ich ging mich beschweren und musste lange diskutieren. Letztendlich bekam ich einen Neuen. Er wurde vor meinen Augen bereitet. 1/2 Schnapsglas Rum, 2 Minischeiben Limette, frische Pfefferminze, ein wenig hineingestreuter weißer Zucker, ca 200 ml WASSER, Eis und es wurde mit Wasser aufgefüllt. Er schmeckte immerhin leicht nach Mojitowasser.
Das Buffet im Buffetrestaurant ist reichlich und ausgezeichnet. Getränke etwas teuer.",Datoen for opplevelsen: 22. april 2024,Als Sonderangebot bebucht,Vurdert til 3 av 5 stjerner,"Booked as a special offer, so didn&#39;t expect too much. We were delighted with the outside cabin. Practical fold-out beds. Lots of space during the day. Unfortunately, a piece of candy fell out of one of the beds when it was folded out. The whole cabin was very dusty and we had to dust it off before we could put our things down. Smoking is only allowed in designated smoking areas on the ship. But there weren&#39;t any. So we smoked everywhere. For me as an asthmatic, it was a gauntlet. My mojito in the panorama bar for around 11 euros tasted like peppermint water. I went to complain and had to argue for a long time. In the end, I got a new one. It was prepared in front of my eyes. 1/2 shot glass of rum, 2 mini slices of lime, fresh peppermint, a little white sugar sprinkled in, around 200 ml of WATER, ice and it was topped up with water. It did taste slightly like mojito water. The buffet in the buffet restaurant is plentiful and excellent. Drinks a bit expensive.",DE
"Veldig rar han som heiter Rune (restaurant sjef) burde ham anmeldt i politiet slik han eieren for å vite hvordan de gjestene opplever 👮‍♂️ #politiet #restaurant #sjef.
(Vi var 9 gjester på bordet, men alle ble kastet ut fra restauranten uten å få spise! 😡 #Urettferdig #Sint. !Vær ekstra oppmerksomhet på han rune dere!!",Datoen for opplevelsen: 05. mars 2024,Veldig rar restaurant sjef ( veldig dårlig kompetanse),Vurdert til 1 av 5 stjerner,"Very strange, his name is Rune (restaurant manager), he should be reported to the police as he the owner to know how the guests experience 👮‍♂️ #politiet #restaurant #sjef. (We were 9 guests at the table, but everyone was thrown out of the restaurant without being allowed to eat! 😡 #Unfair #Angry. !Pay extra attention to that rune you guys!!",NO
"Dårlig service i kaffen. Kaffebaren foran resepsjonen.
Sint ansatt i kaffebaren, spesifikk en ung dame i båten color magic. Fra Oslo til Kiel
Den 23 februar 2024.
Jeg spurte bare om hun kunne kaste litt varmt vann fra min datters vannflaske i vasken, og med en sint utrykk, ba hun meg gå og kaste vannet i et annet sted, når hun så at jeg ikke gikk derfra, tok hun vannflaske sint fra hånden min og kastet vannet sint men aldri så meg i øynene.
Veldig frekk og uhøflig dame .",Datoen for opplevelsen: 23. februar 2024,Dårlig service i kaffen,Vurdert til 1 av 5 stjerner,"Bad service in the coffee. The coffee bar in front of the reception. Angry employee in the coffee shop, specifically a young lady in the color magic boat. From Oslo to Kiel On February 23, 2024. I just asked if she could throw some hot water from my daughter&#39;s water bottle in the sink, and with an angry expression, she asked me to go and throw the water in another place, when she saw that I didn&#39;t walked away, she angrily took water bottle from my hand and threw the water angrily but never looked me in the eyes. Very rude and rude lady.",NO
"Wir waren sehr zufrieden, haben die Suit gebucht. alle Mitarbeiter sehr freundlich, aber bei insgesamt 1700 € für die Mini Kreuzfahrt inklusive Essen und Getränke am Abend,erwarte ich schon, dass es Wein, Softdrinks und Bier auch länger als 90 Minuten gibt. nicht jeder trinkt schnell.
Ganz toll wäre ein kleiner Adults Only Bereich, es war katastrophal, laut im Restaurant, selbst gegen 22:00 Uhr nur Kindergeschrei, es wird über die Stühle getobt, als wäre das Restaurant ein Spielplatz .Das muss nicht sein.
Wir haben viel Geld gezahlt, um eine kleine Auszeit zu haben.
Liebe Eltern, auch die Bedürfnisse anderer Gäste haben eine Berechtigung.",Datoen for opplevelsen: 30. mars 2024,Wir waren sehr zufrieden,Vurdert til 4 av 5 stjerner,"We were very satisfied and booked the suite. All the staff were very friendly, but at a total of €1700 for the mini cruise including food and drinks in the evening, I expect that wine, soft drinks and beer will be available for longer than 90 minutes. Not everyone drinks quickly. A small adults-only area would be great. It was catastrophic, loud in the restaurant, even at 10 p.m. there was only children screaming, people were running around on the chairs as if the restaurant were a playground. That doesn&#39;t have to be the case. We paid a lot of money to have a little break. Dear parents, the needs of other guests are also justified.",DE
"Etter å ha sluttet tidlig på jobben i Oslo for å ta båten kl 17 fra Sandefjord til Strømstad ble det retur til Sandefjord kl 19.00. Snakket akkurat med resepsjonen for å høre om det ble gitt noen kompensasjon, i hvert fall noe mat til returen, (da resturantbesøket i Strømstad ikke blir noe av) fikk vi klar beskjed om at det var det ikke. Service vet de ikke hva er. Ikke en flaske vann spanderte de.",Datoen for opplevelsen: 23. januar 2024,Service eksisterer ikke ….,Vurdert til 1 av 5 stjerner,"After leaving work early in Oslo to take the boat at 17.00 from Sandefjord to Strømstad, we returned to Sandefjord at 19.00. Just spoke to the reception to find out if there was any compensation, at least some food for the return, (as the restaurant visit in Strømstad will not be of any use) we were told clearly that there was not. They don&#39;t know what service is. They didn&#39;t offer a bottle of water.",NO
Vi måtte betale for at ligge på gulvet i VoyagerClass da vi sejlede med natbåten. I tillegg var der ingen kundeservice at få hjelp av da båten var avlyst. Priserne på billetterne er steget 2-300% siden 2020..,Datoen for opplevelsen: 14. april 2024,Vi måtte betale for at ligge på gulvet…,Vurdert til 1 av 5 stjerner,"We had to pay to lie on the floor in VoyagerClass when we sailed on the night boat. In addition, there was no customer service to get help from when the boat was cancelled. The prices of the tickets have risen 2-300% since 2020..",NO
"Kiel Oslo
Wir fahren mehr als 20 Jahre mit CL. Die Qualität ist immer schlechter geworden. Bei unserer letzten Tour 23/24. 03. hatten wir Bettbezug mit Flecken, kann vorkommen. Nach Beschwerde passierte nichts. Wir haben die Bettdecke zum Tresen gebracht und wurden unverschämt beschimpft. Die schmutzige Decke wurde irgendwann wieder auf das Bett gelegt. Es scheint so als zerfallen Laden langsam.",Datoen for opplevelsen: 22. mars 2024,Kiel Oslo,Vurdert til 1 av 5 stjerner,"Kiel Oslo We have been travelling with CL for more than 20 years. The quality has gotten worse and worse. On our last trip on March 23/24, we had stains on the bed cover, which can happen. Nothing happened after we complained. We took the bed cover to the counter and were insulted rudely. The dirty blanket was put back on the bed at some point. It seems as if the business is slowly falling apart.",DE
"I hope I'll never have to use the ferry between Larvik and Hortshals again. Expensive and extremelig bad customer service, so rude and unfriendly - like a robot. Left with anger and rage. Starting a holiday to my second homecontry with a bad tast in my mouth. Love Denmark, abolutelig loath Color Line.",Datoen for opplevelsen: 12. mars 2024,I hope I'll never have to use the ferry between Larvik and Hortshals again. Expensive and extremelig bad custumer service. Left with anger and rage. Starting a holiday to my second homecontry with a b,Vurdert til 1 av 5 stjerner,"I hope I'll never have to use the ferry between Larvik and Hortshals again. Expensive and extremelig bad customer service, so rude and unfriendly - like a robot. Left with anger and rage. Starting a holiday to my second homecontry with a bad tast in my mouth. Love Denmark, abolutelig loath Color Line.",EN
Verry good When What to ge fuckt by te color then you are on the right spot lying people maybe orders by the comagny to do so dithy rooms with camera in the room to Watch you,Datoen for opplevelsen: 11. april 2024,Verry good When What to ge fuckt by te…,Vurdert til 5 av 5 stjerner,Verry good When What to ge fuckt by te color then you are on the right spot lying people maybe orders by the comagny to do so dithy rooms with camera in the room to Watch you,EN
"IKKE DRA PÅ COLORLINE!! Jeg advarer dere. Spesielt muslimske familier!! Dere er virkelig ikke velkommen der. Ansatte er elendig frekke. Dette er ikke et familiested med barn, kun for alkoholikere. Hold dere hjemme. Vi fikk veldig stygge blikk på bufeen og de tok vekk glassene fra bordet kun fordi vi ikke kjøpte drikke. Det er ikke gratis vann. Wifi Internett er svært dyrt.",Datoen for opplevelsen: 24. september 2023,IKKE DRA PÅ COLORLINE!,Vurdert til 1 av 5 stjerner,"DO NOT PULL ON COLORLINE!! I warn you. Especially Muslim families!! You really are not welcome there. The staff are terribly rude. This is not a family place with children, only for alcoholics. Stay at home. We got very ugly looks at the buffet and they took the glasses away from the table only because we didn&#39;t buy drinks. There is no free water. Wifi Internet is very expensive.",NO
"Reiser mye med colorline og synes servicen er bra, tar også buffe innimellom. MEN denne gangen blir vi plassert ved et bord under kald luft, alle ved borde fryser. Tar kontakt om å flytte bord, dette lar seg ikke gjøre,det er full booket, så har forståelse for dette. Og dempe airconditionen i full trøkk var ikke aktuelt. Så for man bord 165 er det lurt å ha med seg boblejakke og polvotter. 🤷🏻‍♀️",Datoen for opplevelsen: 18. august 2023,Reiser mye med colorline og synes…,Vurdert til 3 av 5 stjerner,"Travels a lot with colorline and thinks the service is good, also takes the buffet now and then. BUT this time we are placed at a table under cold air, everyone at the table is freezing. Get in touch about moving the table, this cannot be done, it is fully booked, so understand this. And turning down the air conditioning at full blast was not relevant. So for one table 165 it is a good idea to bring a bubble jacket and pole gloves. 🤷🏻‍♀️",NO
"Fin tur ellers, men ble møtt ved frokostbuffet av en uvennlig betjening. Duk var klisjet og bordet skitten , hun gikk flere ganger forbi uten å rydde, da jeg fjernet duken selv reagerte hun veldig uhøflig. Burde flyttes til en jobb uten gjestekontakt eller slippe til flere motiverte unge til som vi ellers har opplevd som veldig grei.",Datoen for opplevelsen: 01. august 2023,Fin tur ellers,Vurdert til 1 av 5 stjerner,"Nice trip otherwise, but was met at the breakfast buffet by unfriendly staff. The tablecloth was cliche and the table dirty, she walked past several times without cleaning, when I removed the tablecloth myself she reacted very rudely. Should be moved to a job without guest contact or released to more motivated young people who we have otherwise experienced as very good.",NO
"Helt umulig å få info om ferja faktisk går eller ikke. Ingen kan svare på oppdateringer rundt kræsj i Hirtshals. Man må lese om alt i avisa, ikke fra Color Line selv. På deres egene sider er det ikke opplyst om noe. På Facebook er det ikke nevnt engang. Skikkelig elendig kundeservice. Vi sitter her og vet ikke om vår tur blir kansellert eller ikke..",Datoen for opplevelsen: 02. juni 2023,Helt umulig å få info om ferja faktisk…,Vurdert til 1 av 5 stjerner,"It is completely impossible to get information about whether the ferry actually runs or not. No one can respond to updates about crashes in Hirtshals. You have to read about everything in the newspaper, not from Color Line itself. There is no information on their own pages. On Facebook it is not even mentioned. Terrible customer service. We sit here and don&#39;t know if our trip will be canceled or not..",NO
"28.01.2023
Eine Minikreuzfahrt mit Colour Line:
-Fahrt inkl. Oslo bewertet mit 8 von 10 Punkten.
Service auf dem Schiff gut. Angebote und Essen gut.

Negativ:
- Bettwanzen
- Buchung war eine einzige Katastrophe.
Telefonisch erst nach !!! 40 Minuten, wenn überhaupt, erreichbar. Mit der Sterntaste wird NIE irgendeiner zurückgerufen!
Doppelbuchung(Fehlbuchung der Colourline)und bis heute keine Rückerstattung. (1-2Tage sollte es wieder auf dem Konto sein) heute 6 Tag. Unverschämt!!!!
Email Kontakt und Anrufe kaum möglich.
Kein guter Service und sehr ärgerlich.",Datoen for opplevelsen: 28. januar 2023,28.01.2023,Vurdert til 1 av 5 stjerner,"01/28/2023 A mini cruise with Colour Line: - Trip including Oslo rated 8 out of 10 points. Service on the ship good. Offers and food good. Negative: - Bed bugs - Booking was a complete disaster. Only reachable by phone after !!! 40 minutes, if at all. No one is EVER called back when you press the star button! Double booking (incorrect booking by Colourline) and to date no refund. (It should be back in the account in 1-2 days) today is the 6th day. Outrageous!!!! Email contact and calls hardly possible. Not good service and very annoying.",DE
"Wenn die Fähre wetterbedingt ausfällt, was passieren kann, bekommt Mann keine Hilfe. Storno, Erstattung, Umbuchung? Man steht im Regen. Danke Colorline für Eure ständige Nichterreichbarkeit und dass wir auch nicht zurückgerufen worden sind. Weiter so!
Ansonsten waren die Erfahrungen immer sehr positiv. Sauberkeit, Pünktlichkeit, Sicherheit alles ok",Datoen for opplevelsen: 02. juli 2023,Wenn die Fähre wetterbedingt ausfällt,Vurdert til 4 av 5 stjerner,"If the ferry is cancelled due to weather, which can happen, you won&#39;t get any help. Cancellation, refund, rebooking? You&#39;re left out in the cold. Thank you Colorline for not being available at all and for not calling us back. Keep it up! Otherwise, the experience has always been very positive. Cleanliness, punctuality, safety, everything is OK",DE
"Wir fahren seid 30 Jahren einmal im Jahr nach Norwegen .Früher auch einigemale mit Fjordline .
Aber die letzten 15 Jahre nur mit Colourline .In diesem Jahr in der Zeit vom 10.10. - 21.10 Wie allgemein bekannt ist fiel die Rückreise wegen Sturm Auf allen Ostseefähren aus und wir mussten über Schweden per Achse zurück .
In der Woche darauf habe ich mich telefonisch bei CC gemeldet und um Erstattung der ausgefallenen Rückreise gebeten .
Das war völlig problemlos und ich hatte das Geld nach 3 Tagen auf dem Konto .
Superservice Danke
Schön wäre es wenn das Colourline Büro auch am Wochenede besetzt gewesen wäre ....zwecks telefonischer Nachfrage ob und wann welche Abfahrt stattfinden oder ausfallen .",Datoen for opplevelsen: 20. oktober 2023,jährliche Angeltour nach Norwegen,Vurdert til 4 av 5 stjerner,"We have been traveling to Norway once a year for 30 years. In the past we also went with Fjordline a few times, but for the last 15 years we have only traveled with Colourline. This year from October 10th to October 21st, as is well known, the return journey was cancelled on all Baltic Sea ferries due to storms and we had to travel back via Sweden. The following week I called CC and asked for reimbursement for the cancelled return journey. It was completely problem-free and I had the money in my account after 3 days. Great service, thank you. It would be nice if the Colourline office had been open on the weekend too... so that we could call to inquire whether and when certain departures were taking place or were cancelled.",DE
"Tre passasjerer reiser sammen i bil - og blir av Colorline plassert på forskjellige, tilfeldige plasser på fergen (Larvik-Hirtshals) - selv om plassene er kjøpt som del av bilpakken!!
Ringer billettservice, som sier at de ikke kan hjelpe, men at vi må forsøke å endre når vi kommer ombord.
Kunden fokus hos Colorline!!",Datoen for opplevelsen: 07. juli 2023,Tre passasjerer reiser sammen i bil,Vurdert til 1 av 5 stjerner,"Three passengers travel together by car - and are placed by Colorline in different, random places on the ferry (Larvik-Hirtshals) - even if the places have been bought as part of the car package!! Calls ticket service, who say they can&#39;t help, but that we have to try to change when we get on board. Customer focus at Colorline!!",NO
"Forferdelig dårlig kundeservice.
Color line opererer noen ganger med tilbudskoder for generell bruk, det er dog så så mange plasser på disse kodene. Når man spør om hjelp om hvordan dette fungerer får man til svar at denne ikke er i bruk enda det er flere som har booket tur med denne koden.
Frekk var damen jeg snakket med også.",Datoen for opplevelsen: 23. mai 2023,Forferdelig dårlig kundeservice,Vurdert til 1 av 5 stjerner,"Terribly bad customer service. Color line sometimes operates with offer codes for general use, but there are only so many places on these codes. When you ask for help about how this works, you get the answer that this is not in use, even though there are several people who have booked trips with this code. The lady I spoke to was also rude.",NO
